ErrorValue_141,AccuracyValue_141,ErrorValue_101,AccuracyValue_101,ErrorValue_61,AccuracyValue_61,ErrorValue_52,AccuracyValue_52,ErrorValue_51,AccuracyValue_51,ErrorValue_40,AccuracyValue_40,ErrorValue_31,AccuracyValue_31,ErrorValue_20,AccuracyValue_20,ErrorValue_2,AccuracyValue_2,ErrorValue_1,AccuracyValue_1
89,0.0,63,0.0,76,1.9658244e-26,84,0.0,93,0.0,93,0.0,63,0.0,63,0.0,90,0.0,11,2.176669e-31
90,0.0,11,0.0,67,3.7025483e-27,85,0.0,86,0.0,81,0.0,11,0.0,11,0.0,81,0.0,73,2.0339466e-31
91,0.0,16,0.0,41,2.1954868e-27,86,0.0,90,0.0,88,0.0,16,0.0,16,0.0,86,0.0,80,1.6460598e-31
92,0.0,17,0.0,83,1.0077548e-27,87,0.0,88,0.0,83,0.0,17,0.0,17,0.0,85,0.0,19,5.4490834e-32
93,0.0,21,0.0,75,8.1908645e-28,88,0.0,87,0.0,80,0.0,21,0.0,21,0.0,80,0.0,65,1.5359412e-32
12,0.0,30,0.0,68,5.1008616e-28,89,0.0,83,0.0,87,0.0,30,0.0,30,0.0,84,0.0,48,1.4043067e-32
25,0.0,31,0.0,31,5.928419e-29,90,0.0,84,0.0,86,0.0,31,0.0,31,0.0,83,0.0,54,8.33848e-33
27,0.0,33,0.0,80,5.345022e-29,93,0.0,85,0.0,78,0.0,33,0.0,33,0.0,78,0.0,10,2.6755693e-33
30,0.0,35,0.0,70,3.6313876e-29,80,0.0,80,0.0,90,0.0,35,0.0,35,0.0,87,0.0,45,9.438968e-34
57,0.0,36,0.0,25,2.995816e-29,78,0.0,81,0.0,48,0.0,36,0.0,36,0.0,48,0.0,82,1.0226023e-34
58,0.0,37,0.0,94,9.8963534e-30,48,0.0,48,0.0,68,0.0,37,0.0,37,0.0,68,0.0,63,8.653852e-35
51,0.0,39,0.0,48,5.5099994e-30,68,0.0,77,0.0,11,0.0,39,0.0,39,0.0,11,0.0,81,8.627446e-36
50,0.0,42,0.0,81,5.4333974e-30,17,0.0,17,0.0,16,0.0,42,0.0,42,0.0,16,0.0,20,1.909588e-37
49,0.0,44,0.0,32,3.914873e-30,37,0.0,37,0.0,17,0.0,44,0.0,44,0.0,17,0.0,72,3.690569e-38
62,0.0,45,0.0,77,2.8759192e-30,39,0.0,39,0.0,37,0.0,45,0.0,45,0.0,37,0.0,79,0.0
94,0.0,46,0.0,73,7.836514e-31,44,0.0,44,0.0,39,0.0,46,0.0,46,0.0,39,0.0,67,0.0
64,0.0,47,0.0,17,5.40431e-31,45,0.0,45,0.0,44,0.0,47,0.0,47,0.0,44,0.0,31,0.0
47,0.0,94,0.0,90,2.2665228e-31,46,0.0,46,0.0,45,0.0,94,0.0,94,0.0,45,0.0,62,0.0
66,0.0,49,0.0,64,3.3412663e-32,77,0.0,78,0.0,46,0.0,49,0.0,49,0.0,46,0.0,86,0.0
45,0.0,51,0.0,8,3.3402977e-32,47,0.0,47,0.0,47,0.0,51,0.0,51,0.0,47,0.0,76,0.0
68,0.0,52,0.0,82,3.308543e-32,52,0.0,52,0.0,51,0.0,52,0.0,52,0.0,51,0.0,46,0.0
44,0.0,53,0.0,79,1.15498396e-32,55,0.0,55,0.0,52,0.0,53,0.0,53,0.0,52,0.0,58,0.0
39,0.0,55,0.0,72,2.1174703e-33,56,0.0,56,0.0,55,0.0,55,0.0,55,0.0,55,0.0,39,0.0
37,0.0,56,0.0,60,1.8219648e-33,60,0.0,63,0.0,56,0.0,56,0.0,56,0.0,56,0.0,9,0.0
32,0.0,58,0.0,46,9.331422e-34,63,0.0,64,0.0,63,0.0,58,0.0,58,0.0,63,0.0,8,0.0
73,0.0,60,0.0,50,3.7504648e-36,64,0.0,68,0.0,64,0.0,60,0.0,60,0.0,64,0.0,93,0.0
53,0.0,64,0.0,58,1.229903e-36,51,0.0,51,0.0,77,0.0,64,0.0,64,0.0,77,0.0,64,0.0
95,0.0,95,0.0,65,4.3019778e-37,95,0.0,95,0.0,95,0.0,95,0.0,95,0.0,95,0.0,36,0.0
