Text-values,Numerical-values
"The context with the session id [session-1274] scope type [null] is currently used in thread Thread-351087 [0x56c24].Current thread is SAPWM64ker 8080 Thread [0x27ee].),  |","[[ 21 149  20  21 100 150 100 752 151  60 125   2  48 152  17  38  38 753
  754 153  38   2 214 480  38 481]]"
Order 1000489121 is currently being processed .,[[ 13 755   2  48  37  33]]
Order 520577903 is locked and cannot be changed,[[ 13 756   2  10  27  22   4  23  51]]
Order 520563574 is currently being processed .,[[ 13 757   2  48  37  33]]
"The context with the session id [session-1038] scope type [null] is currently used in thread Thread-251760 [0x46e68].Current thread is SAPWM64ker 8100 Thread [0xa5e0].),  |","[[ 21 149  20  21 100 150 100 758 151  60 125   2  48 152  17  38  38 759
  760 153  38   2 214 761  38 762]]"
21.08.2020 15:05:18  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  18 107 114   7   6   1 438   3   9   1 439]]
21.08.2020 14:52:11  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  79 208  73   7   6   1 438   3   9   1 439]]
Order 520535227 is currently being processed .,[[ 13 763   2  48  37  33]]
Order 520567052 is locked and cannot be changed,[[ 13 764   2  10  27  22   4  23  51]]
Order 1000504685 is locked and cannot be changed,[[ 13 765   2  10  27  22   4  23  51]]
"The context with the session id [session-322] scope type [null] is currently used in thread Thread-123679 [0x1efb5].Current thread is SAPWM64ker 8792 Thread [0x8c00].),  |","[[ 21 149  20  21 100 150 100 766 151  60 125   2  48 152  17  38  38 767
  768 153  38   2 214 769  38 770]]"
Order 520552660 is locked and cannot be changed,[[ 13 771   2  10  27  22   4  23  51]]
Order 520541252 is currently being processed .,[[ 13 772   2  48  37  33]]
Order 520618737 is currently being processed .,[[ 13 773   2  48  37  33]]
Order 520594375 is locked and cannot be changed,[[ 13 774   2  10  27  22   4  23  51]]
Order 520193912 is locked and cannot be changed,[[ 13 775   2  10  27  22   4  23  51]]
Order 520592898 is currently being processed .,[[ 13 458   2  48  37  33]]
Order 520567026 is locked and cannot be changed,[[ 13 776   2  10  27  22   4  23  51]]
Order 550074487 is locked and cannot be changed,[[ 13 777   2  10  27  22   4  23  51]]
Order 1000492790 is locked and cannot be changed,[[ 13 778   2  10  27  22   4  23  51]]
Order 1000493344 is currently being processed .,[[ 13 477   2  48  37  33]]
"The context with the session id [session-2790] scope type [null] is currently used in thread Thread-342134 [0x55706].Current thread is SAPWM64ker 9520 Thread [0x675].),  |","[[ 21 149  20  21 100 150 100 779 151  60 125   2  48 152  17  38  38 780
  781 153  38   2 214 782  38 783]]"
"The context with the session id [session-1403] scope type [null] is currently used in thread Thread-171057 [0x2b231].Current thread is SAPWM64ker 9552 Thread [0x16d08].),  |","[[ 21 149  20  21 100 150 100 784 151  60 125   2  48 152  17  38  38 785
  786 153  38   2 214 787  38 788]]"
Order 520458016 is currently being processed .,[[ 13 475   2  48  37  33]]
Error while checking in and storing: Pk3086B.pdf,[[ 26  39 104  17  27 105 789 216]]
Error while checking in and storing: 1597221912234.jpg,[[ 26  39 104  17  27 105 790 447]]
Error while checking in and storing: cannizaro aug 19 hamad.xlsx,[[ 26  39 104  17  27 105 448 482  61 791 426]]
Error while checking in and storing: TMD G FPS N WMS AQUASYS MONTHLY MSCL 01 MANK.docx,[[ 26  39 104  17  27 105 459 483 449 484 792 793 794 485 209 795 224]]
You are not authorized for Create Document with document type Z60,[[103  62   4 441   3 155 198  20 198  60 220]]
You are not authorized for Create Document with document type Z64,[[103  62   4 441   3 155 198  20 198  60 486]]
Error while checking in and storing: 300213127 R.pdf,[[ 26  39 104  17  27 105 796 797 216]]
Error while checking in and storing: TBT  04  AUG 2020    27362  Cannizaro.xlsx,[[ 26  39 104  17  27 105 442 161 482   5 798 448 426]]
Error while checking in and storing: Cannizaro Sheet  23 June 20.xlsx,[[ 26  39 104  17  27 105 448 487  19 488  69 426]]
Error while checking in and storing: 300211246 TR outage by Rinoj.pdf,[[ 26  39 104  17  27 105 799 489 800  31 490 216]]
Error while checking in and storing: Routine inspection of 132kV transformers - IBTs &,[[ 26  39 104  17  27 105 491 460  42 801 802 803]]
Error while checking in and storing: 300219218.releasing.pdf,[[ 26  39 104  17  27 105 804 492 216]]
Error while checking in and storing: FUNCTIONAL TEST OF CB CLOSE and TRIP CIRCUIT.docx,[[ 26  39 104  17  27 105 493 805  42 494 806  27 807 808 224]]
Error while checking in and storing: SAMPLE TBT 20 09 2020.xlsx,[[ 26  39 104  17  27 105 225 442  69  25   5 426]]
Error while checking in and storing: BPCL.doc,[[ 26  39 104  17  27 105 495 496]]
Error while checking in and storing: 130920 TBT.docx,[[ 26  39 104  17  27 105 809 442 224]]
Error while checking in and storing: TMD TEM TR RCM MSCL MI Oil sampling from Trafo and,[[ 26  39 104  17  27 105 459 810 489 811 485 812 497 498 116 499  27]]
Error while checking in and storing: 28 SEP NHDA zone afternoon patrolling report shaha,[[ 26  39 104  17  27 105 158 813 814 461 815 816 500 817]]
Error while checking in and storing: TBT 29 06 2020.xlsx,[[ 26  39 104  17  27 105 442  92 115   5 426]]
Error while checking in and storing: 300211225-Flattened.pdf,[[ 26  39 104  17  27 105 818 450 216]]
Error while checking in and storing: 300210402 CI.pdf,[[ 26  39 104  17  27 105 819 820 216]]
Error while checking in and storing: 300211283sadeesh.pdf,[[ 26  39 104  17  27 105 821 216]]
Error while checking in and storing: WCD,[[ 26  39 104  17  27 105 822]]
Error while checking in and storing: 300219419.pdf,[[ 26  39 104  17  27 105 823 216]]
Error while checking in and storing: 25 TBT .xls,[[ 26  39 104  17  27 105 154 442 824]]
Error while checking in and storing: IMG_20200910_110536.jpg,[[ 26  39 104  17  27 105 501 825 826 447]]
Error while checking in and storing: PARTIAL DISCHARGE SURVEY- Gr 5.docx,[[ 26  39 104  17  27 105 827 828 829 830 831 224]]
Error while checking in and storing: 300217522A.pdf,[[ 26  39 104  17  27 105 832 216]]
Error while checking in and storing: LUBRICATION OF CB DRIVE MECHANISM AND SHUTTER.docx,[[ 26  39 104  17  27 105 833  42 494 834 502  27 835 224]]
Error while checking in and storing: Oil sampling from Trafo & React.docx,[[ 26  39 104  17  27 105 497 498 116 499 836 224]]
Error while checking in and storing: 300215365 R1 Husain .pdf,[[ 26  39 104  17  27 105 837 838 839 216]]
Error while checking in and storing: JF0677-Flattened-Flattened.pdf,[[ 26  39 104  17  27 105 840 450 450 216]]
"The context with the session id [session-762] scope type [null] is currently used in thread Thread-302593 [0x4ced9].Current thread is SAPWM64ker 1864 Thread [0x1a541].),  |","[[ 21 149  20  21 100 150 100 841 151  60 125   2  48 152  17  38  38 842
  843 153  38   2 214 844  38 845]]"
"The context with the session id [session-7918] scope type [null] is currently used in thread Thread-661433 [0xa50e8].Current thread is SAPWM64ker 1956 Thread [0x35acf].),  |","[[ 21 149  20  21 100 150 100 846 151  60 125   2  48 152  17  38  38 847
  848 153  38   2 214 849  38 850]]"
Error while checking in and storing: 1597923342202.jpg,[[ 26  39 104  17  27 105 851 447]]
"The context with the session id [session-12] scope type [null] is currently used in thread Thread-227853 [0x39722].Current thread is SAPWM64ker 2336 Thread [0x37490].),  |","[[ 21 149  20  21 100 150 100 120 151  60 125   2  48 152  17  38  38 852
  853 153  38   2 214 854  38 855]]"
Error while checking in and storing: Cannizaro Sheet 30 09 2020 .xlsx,[[ 26  39 104  17  27 105 448 487  16  25   5 426]]
Error while checking in and storing:  21 07 2020 28281.xlsx,[[ 26  39 104  17  27 105  34   8   5 856 426]]
Error while checking in and storing: BPCL.docx,[[ 26  39 104  17  27 105 495 224]]
Error while checking in and storing: 300210598 BEFI Replacement by Rinoj.pdf,[[ 26  39 104  17  27 105 857 858 859  31 490 216]]
Error while checking in and storing: 300214759.pdf,[[ 26  39 104  17  27 105 860 216]]
Error while checking in and storing: Pk13922A.pdf,[[ 26  39 104  17  27 105 861 216]]
Error while checking in and storing: 23 09 2020   Outlet mall M MOHAMED ISHAQ.xlsx,[[ 26  39 104  17  27 105  19  25   5 862 863 503 864 865 426]]
Error while checking in and storing: MRNAHRBR THERMAL IMAGING  FOR -IDTS ETS AND REACTO,[[ 26  39 104  17  27 105 866 867 868   3 869 870  27 871]]
Error while checking in and storing: TFEMBL.docx,[[ 26  39 104  17  27 105 872 224]]
Error while checking in and storing: 300211293-Flattened.pdf,[[ 26  39 104  17  27 105 873 450 216]]
Error while checking in and storing: PK12185A.pdf,[[ 26  39 104  17  27 105 874 216]]
Error while checking in and storing: Pk9737A.pdf,[[ 26  39 104  17  27 105 875 216]]
Error while checking in and storing: PK2527 A B-.pdf,[[ 26  39 104  17  27 105 876  36 877 216]]
Error while checking in and storing: 1. Routine inspection of 400kV ICTs while in servi,[[ 26  39 104  17  27 105 878 491 460  42 879 880  39  17 881]]
Error while checking in and storing: TFCDEAF.docx,[[ 26  39 104  17  27 105 882 224]]
Error while checking in and storing: TFCDEFS.docx,[[ 26  39 104  17  27 105 883 224]]
Error while checking in and storing:  09 07 2020 Protected.xlsx,[[ 26  39 104  17  27 105  25   8   5 884 426]]
Error while checking in and storing: MRDF.docx,[[ 26  39 104  17  27 105 885 224]]
Error while checking in and storing: TMD G FPS N TFCLASD MSCL02.docx,[[ 26  39 104  17  27 105 459 483 449 484 886 887 224]]
Error while checking in and storing: 300211655 10 Releasing.pdf,[[ 26  39 104  17  27 105 888  29 492 216]]
Error while checking in and storing: SS14201A.pdf,[[ 26  39 104  17  27 105 889 216]]
Error while checking in and storing: TFCDCLS.docx,[[ 26  39 104  17  27 105 890 224]]
